Key,Translation,Version,Comment (context for translators)
goal.dispose.of.objs,Vernietig {0},,
goal.dispose.of.objs.desc,Ik heb <b>{0}</b> gedetecteerd op het schip. Gebruik de <b>{1}</b> actie om deze objecten te verwijderen.,,{0} object name. {1} action name. Example: I detected Artillery Fungus. Use Dispose action to get rid of these objects.
research.robotics.autorepair,,,
research.robotics.autorepair.desc,,,
uncap.animation.fps,,,
uncap.animation.fps.tip,,,
affects.performance,,,
adj.infected,,,"adjective, as in with disease or virus"
no.direct.route,,,error when clicking on a location that has no path to it
noun.landing.zone,,,
amount.recommended.minimum,,,
amount.current,,,
quest.step.move.in.hyperspace,,,
quest.step.move.in.hyperspace.desc,,,{0} is Universe or Region
quest.step.enter.hyperspace.desc,,,
warning.incompatible.start.region,,,
derelict.abandon.warning,,,
storygen.chaos,,,
research.production.remotemining,,,
objects.devices.beamdrill,,,
objects.devices.beamdrill.desc,,,
space.object.DarkPortal,,,
space.object.info.DarkPortal,,,
recenter.ship,Hercenter Schip,,
recenter.ship.tip,Deze actie zal onmiddellijk uw schip naar het centrum van de kaart verplaatsen.,,
adj.explored,Verkend,,adjective - label for explored objects
adj.unexplored,Onverkend,,adjective - label for unexplored objects
quest.UseDarkPortal,,,
quest.UseDarkPortal.desc,,,
quest.step.use.dark.portal,,,
modifier.ResearchCost,,,
modifier.ResearchCost.desc,,,
scan.target.deep,Dieptescan,,
scan.target.deep.desc,,,
noun.list,,,
ai.alignment.info.1,,,
ai.alignment.info.2,,,
system.scan.extended,,,
system.scan.extended.desc,,,
share.ship,,,for sharing the ship in steam workshop
noun.ship,,,as in space ship (but has to be short)
noun.ships,,,plural of ship
game.template.mode,,,
game.template.new,,,
more.actions,Meer acties,,
download.ships,Download Schepen,,
mod.unsubscribe,Uitschrijven,,
verb.keep,Houden,,
verb.regenerate,Genereer opnieuw,,
situation.SectorDifficulty,Sector Moeilijkheid,,
modifier.MiningOutput,,,
modifier.MiningOutput.desc,,,
eject.from.storage.first,,,Shown when player tries to replace a body part on a being that is in storage (in morgue or mechuary).
modifier.BasicTech,Basis Technologie,,
modifier.BasicTech.desc,,,
goal.AcceptQuest,Aanvaard een Opdracht,,
goal.AcceptQuest.desc,"Je hebt geen opdrachten aangenomen, maar er zijn er beschikbaar. Controleer de lijst van Evenementen of het Opdrachten overzicht om ze te zien.",,
hold.to.lock.tooltip,Druk {0} om deze tooltip vast te zetten,,{0} is a shortcut key name. Locking the tooltip will keep it frozen in place so that you can click links inside the tooltip
noun.weapon.power,,,Version 0.13 translations start here
noun.shields,Schilden,,
noun.weapons,Wapens,,
noun.weapon.power.short,,,As in Strength of Weapon Power
noun.flux,,,A sci-fi term. can be accumulated during ship combat and has to be vented. 
noun.flux.desc,,,
noun.evade,,,"Label next to ship evasion percentage. Evasion determines how likely the ship will dodge incoming attacks. Must be short, hence Evade and not Evasion"
noun.evade.desc,,,
ship.does.not.meet.requirements,,,Displayed as a warning tooltip near options where ship class or tag cannot bet switched into due to not fulfilled requirements
flux.capacity,,,
flux.capacity.short,,,should be no more than 3-4 letters. short for capacity.
flux.overload.desc,,,
flux.soft,,,
flux.soft.short,,,no more than 3-4 letters
flux.hard,,,
flux.hard.short,,,no more than 3-4 letters
flux.accumulated,,,
vent.rate,,,
flux.overload,,,defines a state when a device is overloaded
verb.vent.flux,,,For toggling venting of the ship heat (flux)
flux.venting,,,
noun.hull.points,,,"like Hit Points (HP) but for ships, so Hull Points"
noun.hull.points.short,,,
our.ship,Ons schip,,label above ship combat UI controls for our ship
ship.configuration,Scheepsconfiguratie,,
noun.engines,Motoren,,plural of Engine. for space ship engines.
space.object.Ship,Ruimteschip,,
noun.ship.class,Scheepsklasse,,"as in ship class in navy (fighter, cruser, battleship)"
ship.class.spacestation,Ruimtestation,,special ship class for space stations
ship.class.unclassified,Niet geklassificeerd,,for space ships that don't fit any class requirements
ship.class.corvette,Korvet,,second smallest ship class
ship.class.fighter,,,smallest ship class in game
ship.class.cruiser,Kruiser,,
ship.class.battlecruiser,Slagkruiser,,
ship.class.destroyer,,,
ship.class.dreadnought,,,second biggest ship class
ship.class.titan,,,biggest ship class in game
ship.class.carrier,,,
ship.class.frigate,Fregat,,
ship.class.battleship,,,
noun.ship.tag,,,"a 2-3 letter tag before the ship name (like USS, HMS, etc)"
ship.tag.nss,,,acronym is always constructed from the description: Navy Star Ship -> NSS
ship.tag.nss.desc,,,standard military vessels
ship.tag.bcv,,,
ship.tag.bcv.desc,,,capital warships
ship.tag.ars,,,
ship.tag.ars.desc,,,AI controlled defense ships
ship.tag.css,,,
ship.tag.css.desc,,,capitalist ships
ship.tag.tcv,,,
ship.tag.tcv.desc,,,"merchants, transport"
ship.tag.lcv,,,
ship.tag.lcv.desc,,,high-end capitalist ships
ship.tag.esv,,,
ship.tag.esv.desc,,,deep space research
ship.tag.fsv,,,
ship.tag.fsv.desc,,,independent adventurers
ship.tag.imv,,,
ship.tag.imv.desc,,,resource extraction ships
ship.tag.inf,,,
ship.tag.inf.desc,,,virus-corrupted ships
ship.tag.ltv,,,
ship.tag.ltv.desc,,,cargo haulters and carriers
ship.tag.tav,,,
ship.tag.tav.desc,,,big offensive ships
ship.tag.scs,,,
ship.tag.scs.desc,,,titan class ships
ship.tag.lfs,,,
ship.tag.lfs.desc,,,small fighters
ship.tag.srs,,,
ship.tag.srs.desc,,,hit and run tactical ships
ship.tag.msv,,,
ship.tag.msv.desc,,,verstaile small crafts
ship.tag.usv,,,
ship.tag.usv.desc,,,
ship.tag.fss,,,
ship.tag.fss.desc,,,
ship.tag.iss,,,
ship.tag.iss.desc,,,
ship.tag.uss,,,
ship.tag.uss.desc,,,
ship.tag.rss,,,
ship.tag.rss.desc,,,
codex.ship.classes,,,header for list of ship classes
codex.ship.tags,,,header for list of ship tags
in.hyperspace,,,label for ships that are currently in hyperspace
verb.hail,,,initiate communications with another space ship
verb.insult,,,As in say something bad to insult a person
verb.trading.with,,,{0} will be traders name
verb.approaching,,,{0} will be object name
verb.end.call,,,for ending telecommunications between ships
incoming.transmission,,,when other ships hail your ship
ship.hailing.you,,,{0} will be the ship name
verb.offer.gift,,,action button label for offering a gift to another spaceship
verb.surrender,,,for surrendering during combat
verb.ask.fuel,,,action button label for asking another space ship to give you fuel
verb.extort,,,label for asking other ship for money or items by threatening them
noun.gift.package,,,"when we get a gift, we have to chose from a few packages, this is a button label. it will have #1, #2 in the end of it"
noun.fuel.package,,,"when we aks for fuel, we have a choice from several fuel packages. this label will have #1, #2, etc in the end "
noun.ransom,,,extortion ransom label
noun.combat,,,mostly used for ship to ship combat
noun.end.of.combat,,,"as in 'if you surrender, the consequence will be: End of combat'"
relationship.with,,,{0} is a name
chance.accept,,,"when you want to give a gift to someone, this will show up like 'Accept Chance: 10%'. This is the chance of the receiver to accept a gift"
noun.value,,,monetary value of something
consequence.accept,,,a label for consequence of accepting a gift
consequence.reject,,,a label for consequence of rejecting a gift
consequence.take,,,a label for consequence of taking a package
offer.this.package,,,label on a button that offers this gift package. the recipient may not agree to take it.
take.this.package,,,label on a button that selects a gift package player wants to take (one from a list)
,,,
ship.chat.trade_req.neutral.casual.01,,,
ship.chat.trade_req.neutral.casual.02,,,
ship.chat.trade_req.neutral.casual.03,,,
ship.chat.trade_req.neutral.polite.01,,,
ship.chat.trade_req.neutral.polite.02,,,
ship.chat.trade_req.neutral.polite.03,,,
ship.chat.trade_req.neutral.rude.01,,,
ship.chat.trade_req.neutral.rude.02,,,
ship.chat.trade_req.neutral.rude.03,,,
ship.chat.trade_res.positive.casual.01,,,
ship.chat.trade_res.positive.casual.02,,,
ship.chat.trade_res.positive.casual.03,,,
ship.chat.trade_res.positive.polite.01,,,
ship.chat.trade_res.positive.polite.02,,,
ship.chat.trade_res.positive.polite.03,,,
ship.chat.trade_res.positive.rude.01,,,
ship.chat.trade_res.positive.rude.02,,,
ship.chat.trade_res.positive.rude.03,,,
,,,
ship.chat.gift_req.neutral.casual.01,,,
ship.chat.gift_req.neutral.casual.02,,,
ship.chat.gift_req.neutral.casual.03,,,
ship.chat.gift_req.neutral.polite.01,,,
ship.chat.gift_req.neutral.polite.02,,,
ship.chat.gift_req.neutral.polite.03,,,
ship.chat.gift_req.neutral.rude.01,,,
ship.chat.gift_req.neutral.rude.02,,,
ship.chat.gift_req.neutral.rude.03,,,
ship.chat.gift_res.positive.casual.01,,,
ship.chat.gift_res.positive.casual.02,,,
ship.chat.gift_res.positive.casual.03,,,
ship.chat.gift_res.positive.polite.01,,,
ship.chat.gift_res.positive.polite.02,,,
ship.chat.gift_res.positive.polite.03,,,
ship.chat.gift_res.positive.rude.01,,,
ship.chat.gift_res.positive.rude.02,,,
ship.chat.gift_res.positive.rude.03,,,
,,,
ship.chat.extort_res.positive.casual.01,,,
ship.chat.extort_res.positive.casual.02,,,
ship.chat.extort_res.positive.casual.03,,,
ship.chat.extort_res.positive.polite.01,,,
ship.chat.extort_res.positive.polite.02,,,
ship.chat.extort_res.positive.polite.03,,,
ship.chat.extort_res.positive.rude.01,,,
ship.chat.extort_res.positive.rude.02,,,
ship.chat.extort_res.positive.rude.03,,,
,,,
ship.chat.extort_res.negative.casual.01,,,
ship.chat.extort_res.negative.casual.02,,,
ship.chat.extort_res.negative.casual.03,,,
ship.chat.extort_res.negative.casual.04,,,
ship.chat.extort_res.negative.casual.05,,,
ship.chat.extort_res.negative.casual.06,,,
ship.chat.extort_res.negative.polite.01,,,
ship.chat.extort_res.negative.polite.02,,,
ship.chat.extort_res.negative.polite.03,,,
ship.chat.extort_res.negative.rude.01,,,
ship.chat.extort_res.negative.rude.02,,,
ship.chat.extort_res.negative.rude.03,,,
ship.chat.extort_res.negative.rude.04,,,
ship.chat.extort_res.negative.rude.05,,,
ship.chat.extort_res.negative.rude.06,,,
,,,
ship.chat.fuel_req.neutral.casual.01,,,
ship.chat.fuel_req.neutral.casual.02,,,
ship.chat.fuel_req.neutral.casual.03,,,
ship.chat.fuel_req.neutral.polite.01,,,
ship.chat.fuel_req.neutral.polite.02,,,
ship.chat.fuel_req.neutral.polite.03,,,
ship.chat.fuel_req.neutral.rude.01,,,
ship.chat.fuel_req.neutral.rude.02,,,
ship.chat.fuel_req.neutral.rude.03,,,
,,,
ship.chat.extort_req.neutral.casual.01,,,
ship.chat.extort_req.neutral.casual.02,,,
ship.chat.extort_req.neutral.casual.03,,,
ship.chat.extort_req.neutral.polite.01,,,
ship.chat.extort_req.neutral.polite.02,,,
ship.chat.extort_req.neutral.polite.03,,,
ship.chat.extort_req.neutral.rude.01,,,
ship.chat.extort_req.neutral.rude.02,,,
ship.chat.extort_req.neutral.rude.03,,,
ship.chat.extort_req.neutral.rude.04,,,
ship.chat.extort_req.neutral.rude.05,,,
ship.chat.extort_req.neutral.rude.06,,,
,,,
ship.chat.combat_engage.neutral.casual.01,,,
ship.chat.combat_engage.neutral.casual.02,,,
ship.chat.combat_engage.neutral.casual.03,,,
ship.chat.combat_engage.neutral.polite.01,,,
ship.chat.combat_engage.neutral.polite.02,,,
ship.chat.combat_engage.neutral.polite.03,,,
ship.chat.combat_engage.neutral.rude.01,,,
ship.chat.combat_engage.neutral.rude.02,,,
ship.chat.combat_engage.neutral.rude.03,,,
ship.chat.combat_engage.neutral.rude.04,,,
ship.chat.combat_engage.neutral.rude.05,,,
ship.chat.combat_engage.neutral.rude.06,,,
,,,
ship.chat.hail_req.neutral.casual.01,,,
ship.chat.hail_req.neutral.casual.02,,,
ship.chat.hail_req.neutral.casual.03,,,
ship.chat.hail_req.neutral.polite.01,,,
ship.chat.hail_req.neutral.polite.02,,,
ship.chat.hail_req.neutral.polite.03,,,
ship.chat.hail_req.neutral.rude.01,,,
ship.chat.hail_req.neutral.rude.02,,,
ship.chat.hail_req.neutral.rude.03,,,
,,,
ship.chat.surrender_req.neutral.casual.01,,,
ship.chat.surrender_req.neutral.casual.02,,,
ship.chat.surrender_req.neutral.casual.03,,,
ship.chat.surrender_req.neutral.polite.01,,,
ship.chat.surrender_req.neutral.polite.02,,,
ship.chat.surrender_req.neutral.polite.03,,,
ship.chat.surrender_req.neutral.rude.01,,,
ship.chat.surrender_req.neutral.rude.02,,,
ship.chat.surrender_req.neutral.rude.03,,,
,,,
ship.chat.busy.casual.01,,,
ship.chat.busy.casual.02,,,
ship.chat.busy.casual.03,,,
ship.chat.busy.polite.01,,,
ship.chat.busy.polite.02,,,
ship.chat.busy.polite.03,,,
ship.chat.busy.rude.01,,,
ship.chat.busy.rude.02,,,
ship.chat.busy.rude.03,,,
,,,
ship.chat.negative.casual.01,,,
ship.chat.negative.casual.02,,,
ship.chat.negative.casual.03,,,
ship.chat.negative.polite.01,,,
ship.chat.negative.polite.02,,,
ship.chat.negative.polite.03,,,
ship.chat.negative.rude.01,,,
ship.chat.negative.rude.02,,,
ship.chat.negative.rude.03,,,
,,,
ship.chat.positive.casual.01,,,
ship.chat.positive.casual.02,,,
ship.chat.positive.casual.03,,,
ship.chat.positive.polite.01,,,
ship.chat.positive.polite.02,,,
ship.chat.positive.polite.03,,,
ship.chat.positive.rude.01,,,
ship.chat.positive.rude.02,,,
ship.chat.positive.rude.03,,,
,,,
ship.chat.outlaw.casual.01,,,
ship.chat.outlaw.casual.02,,,
ship.chat.outlaw.casual.03,,,
ship.chat.outlaw.polite.01,,,
ship.chat.outlaw.polite.02,,,
ship.chat.outlaw.polite.03,,,
ship.chat.outlaw.rude.01,,,
ship.chat.outlaw.rude.02,,,
ship.chat.outlaw.rude.03,,,
,,,
ship.chat.too.far.negative.casual.01,,,
ship.chat.too.far.negative.casual.02,,,
ship.chat.too.far.negative.casual.03,,,
ship.chat.too.far.negative.polite.01,,,
ship.chat.too.far.negative.polite.02,,,
ship.chat.too.far.negative.polite.03,,,
ship.chat.too.far.negative.rude.01,,,
ship.chat.too.far.negative.rude.02,,,
ship.chat.too.far.negative.rude.03,,,
,,,
space.object.ShipHyperTrail,,,
space.object.info.ShipHyperTrail,,,
ship.hypertrail.hot,,,
objects.devices.shieldemitter,,,
objects.devices.shieldemitter.desc,,,
,,,
overlay.tip.ShipCombat,,,
objects.devices.shreddercannon,Versnippering Kanon,,
objects.devices.shreddercannon.desc,,,
objects.devices.heavylaser,,,
objects.devices.heavylaser.desc,,,
research.shipcombat.pointdefense,,,
research.shipcombat.weaponsballistic,,,
research.shipcombat.weaponslaser,,,
research.shipcombat.weaponsmissile,,,
objects.devices.rocketpod,,,
objects.devices.rocketpod.desc,,,
obj.materials.rocket,,,
obj.materials.rocket.desc,,,
objects.devices.interceptorturret,,,
objects.devices.interceptorturret.desc,,,
not.available.during.ship.combat,,,
state.disabled,,,
state.windup,,,
state.no.ammo,,,
noun.weapon.type,,,
weapon.type.balistic,,,
weapon.type.missile,,,
weapon.type.laser,,,
weapon.type.pointdefense,,,
weapon.type.plasma,,,
noun.hyperdrives,,,plural of Hyperdrive
noun.ship.hull,,,
noun.weapon.settings,,,
adj.default,,,
adj.custom,,,
open.default.settings,,,
weapon.mode.target,,,"how weapon selects a target (auto, manual, etc)"
weapon.mode.fire,,,"how weapon shots (auto, manual, etc)"
autofire.flux.threshold,,,
autofire.flux.threshold.desc,,,
auto.target.priorities,,,
research.shipcombat.weaponsplasma,,,
objects.devices.gaussstriker,,,
objects.devices.gaussstriker.desc,,,
paste.config,,,
noun.stats,,,
stat.charge.time,,,
stat.charge.time.weapons.desc,,,
stat.charge.time.desc,,,
stat.windup.time,,,
stat.windup.time.desc,,,
ammo.capacity,,,
stat.accuracy,,,
stat.shield.penetrate.chance,,,
stat.shield.penetrate.chance.desc,,,{0} is Shields
stat.flux.per.shot.hard,,,
stat.flux.per.shot.soft,,,
stat.flux.per.shot.desc,,,{0} is Hard Flux or Soft Flux
stat.flux.per.hit.hard,,,
stat.flux.per.hit.soft,,,
stat.flux.per.hit.desc,,,"{0} is Hard Flux or Soft Flux, {1} is Shields"
targeted.by,,,
target.with.all.weapons,,,
target.with.weapon,,,
current.target,Huidig Doel,,
not.targeted,Geen Doel,,
noun.ship.weapon,Scheepswapen,,
noun.ship.weapons,Scheepswapens,,Plural of Ship Weapon
noun.combat.mode,Gevechtsmodus,,
too.much.flux,,,
noun.thrusters,Raketmotoren,,plural of Thruster - a small engine
noun.flux.vent.settings,,,
auto.vent.flux,,,label for setting: automatically vent flux
tolerated.flux.hard,,,
tolerated.flux.hard.desc,,,
tolerated.flux,,,
tolerated.flux.desc,,,
auto.vent.flux.stop.hard,,,
auto.vent.flux.stop.hard.desc,,,
auto.vent.flux.stop.total,,,
auto.vent.flux.stop.total.desc,,,
value.too.low,Te Laag,,warning label when a numeric value is too low
toggle.compact.ui,Schakel naar Compacte UI,,
noun.class.points,Klassepunten,,device points for ship class
class.points.desc,"Elk schip heeft een maximum wettelijk toegelaten aantal Klassepunten. Elk offensief apparaat (wapen, schild, motor) verbruikt een aantal Klassepunten. Overschrijden van de limiet resulteert in negatieve gevolgen.",,
